artists,cluster,perfil_cluster,alto_potencial,apariciones_chile,canciones_unicas_chile,rank_promedio_chile,popularidad_promedio,movimiento_diario_promedio,movimiento_semanal_promedio,permanencia_dias,puntaje_posicion_chile,probabilidad_alta_senal_spotify,clase_predicha,senal_predicha
Cris Mj,2,Artistas consolidados de alto desempeño local,1,3797,44,22.263365815117197,75.86515670265999,0.5077692915459573,1.6860679483803003,580,50,1.0,1,Alta señal digital local
Jere Klein,2,Artistas consolidados de alto desempeño local,1,3792,45,21.359704641350213,71.83306962025317,0.5279535864978903,1.7331223628691983,581,50,1.0,1,Alta señal digital local
Kidd Voodoo,2,Artistas consolidados de alto desempeño local,1,2937,57,22.41811372148451,68.62887299965952,0.6530473272046305,2.5760980592441265,519,50,0.999999,1,Alta señal digital local
Lucky Brown,2,Artistas consolidados de alto desempeño local,1,2471,27,21.342776203966007,71.04775394577095,0.5880210441116956,2.1732092270335897,582,50,1.0,1,Alta señal digital local
Bad Bunny,2,Artistas consolidados de alto desempeño local,1,2127,39,19.866008462623412,90.42031029619181,0.35637047484720263,2.083215796897038,486,50,1.0,1,Alta señal digital local
KAROL G,2,Artistas consolidados de alto desempeño local,1,1643,17,31.34327449786975,88.00791235544735,0.26536822884966527,0.9835666463785758,582,50,1.0,1,Alta señal digital local
Mateo on the Beatz,2,Artistas consolidados de alto desempeño local,1,1542,18,20.85343709468223,70.03631647211414,0.5998702983138781,1.9863813229571985,582,50,1.0,1,Alta señal digital local
FloyyMenor,2,Artistas consolidados de alto desempeño local,1,1482,20,20.821862348178136,77.57692307692308,0.7017543859649122,3.0020242914979756,433,50,0.999999,1,Alta señal digital local
Feid,0,Presencia sostenida en rankings chilenos,1,1112,14,25.3794964028777,88.69064748201438,0.4307553956834532,1.2886690647482015,542,49,0.999999,1,Alta señal digital local
Pablo Chill-E,0,Presencia sostenida en rankings chilenos,1,1055,16,25.90521327014218,70.35355450236966,0.43317535545023694,1.2881516587677726,530,50,0.999998,1,Alta señal digital local
Ovy On The Drums,0,Presencia sostenida en rankings chilenos,1,856,10,20.57126168224299,81.77920560747664,0.7184579439252337,3.40303738317757,329,50,0.999994,1,Alta señal digital local
Nickoog Clk,0,Presencia sostenida en rankings chilenos,1,798,9,27.19924812030075,72.43734335839599,0.4523809523809524,1.0100250626566416,421,50,0.999992,1,Alta señal digital local
Swift 047,0,Presencia sostenida en rankings chilenos,1,796,10,20.746231155778894,71.82035175879398,0.29396984924623115,0.7876884422110553,342,50,0.999995,1,Alta señal digital local
Rauw Alejandro,0,Presencia sostenida en rankings chilenos,1,737,5,26.385345997286297,86.59565807327002,0.4314789687924016,1.78561736770692,526,48,0.999998,1,Alta señal digital local
DrefQuila,0,Presencia sostenida en rankings chilenos,1,723,16,25.038727524204702,67.46749654218534,0.6182572614107884,1.7496542185338866,311,50,0.999943,1,Alta señal digital local
Jairo Vera,0,Presencia sostenida en rankings chilenos,1,718,15,22.64066852367688,71.4025069637883,0.6183844011142061,2.278551532033426,393,50,0.999988,1,Alta señal digital local
Ke Personajes,0,Presencia sostenida en rankings chilenos,1,699,5,24.13304721030043,80.95994277539342,0.38197424892703863,1.005722460658083,524,47,0.999998,1,Alta señal digital local
Myke Towers,0,Presencia sostenida en rankings chilenos,1,590,8,25.733898305084747,88.39152542372881,0.4152542372881356,1.259322033898305,436,48,0.999992,1,Alta señal digital local
Anuel AA,0,Presencia sostenida en rankings chilenos,1,544,13,29.363970588235293,80.95220588235294,0.5992647058823529,1.8511029411764706,439,50,0.999968,1,Alta señal digital local
Tiago PZK,0,Presencia sostenida en rankings chilenos,1,540,5,21.044444444444444,81.33888888888889,0.6388888888888888,1.9425925925925926,438,46,0.999995,1,Alta señal digital local
Young Cister,0,Presencia sostenida en rankings chilenos,1,519,26,24.69942196531792,65.57418111753371,0.9884393063583815,3.2928709055876686,274,50,0.999401,1,Alta señal digital local
Blessd,0,Presencia sostenida en rankings chilenos,1,508,7,23.555118110236222,82.38976377952756,0.5570866141732284,2.1653543307086616,291,50,0.99997,1,Alta señal digital local
Gino Mella,0,Presencia sostenida en rankings chilenos,1,503,10,30.642147117296222,71.28429423459245,0.29025844930417494,0.5864811133200796,229,50,0.999632,1,Alta señal digital local
ATL Jacob,0,Presencia sostenida en rankings chilenos,1,489,1,19.498977505112475,90.41104294478528,0.5378323108384458,0.9856850715746421,489,48,0.999999,1,Alta señal digital local
Kapo,0,Presencia sostenida en rankings chilenos,1,481,3,25.46985446985447,86.04573804573805,0.45114345114345117,1.2349272349272349,305,47,0.999966,1,Alta señal digital local
Fran C,0,Presencia sostenida en rankings chilenos,1,481,7,28.484407484407484,66.28066528066527,0.5634095634095634,2.417879417879418,365,48,0.999908,1,Alta señal digital local
Gittobeatz,0,Presencia sostenida en rankings chilenos,1,475,5,21.347368421052632,73.48842105263158,0.6189473684210526,2.0442105263157893,378,50,0.999992,1,Alta señal digital local
Dei V,0,Presencia sostenida en rankings chilenos,1,470,4,20.34468085106383,81.18297872340426,0.4,1.9787234042553192,369,49,0.999994,1,Alta señal digital local
Peso Pluma,0,Presencia sostenida en rankings chilenos,1,454,3,28.46696035242291,90.47577092511013,0.27312775330396477,0.6013215859030837,354,49,0.999976,1,Alta señal digital local
Nes,0,Presencia sostenida en rankings chilenos,1,445,6,23.564044943820225,74.35280898876404,0.19101123595505617,1.0764044943820226,365,50,0.999986,1,Alta señal digital local
Katteyes,0,Presencia sostenida en rankings chilenos,1,435,3,18.011494252873565,75.08735632183908,0.5103448275862069,2.1632183908045977,370,50,0.999996,1,Alta señal digital local
El BAI,0,Presencia sostenida en rankings chilenos,1,435,3,21.248275862068965,74.25287356321839,0.3701149425287356,0.5080459770114942,308,50,0.999988,1,Alta señal digital local
Bayron Fire,0,Presencia sostenida en rankings chilenos,1,430,5,23.211627906976744,69.38837209302325,0.4604651162790698,2.341860465116279,206,50,0.999886,1,Alta señal digital local
Bruno Mars,0,Presencia sostenida en rankings chilenos,1,424,4,24.22877358490566,93.09433962264151,0.6344339622641509,2.17688679245283,267,45,0.999928,1,Alta señal digital local
Ak4:20,0,Presencia sostenida en rankings chilenos,1,405,13,30.476543209876542,66.41975308641975,0.2074074074074074,1.108641975308642,258,46,0.998919,1,Alta señal digital local
Lewis Somes,0,Presencia sostenida en rankings chilenos,1,394,5,22.695431472081218,74.68274111675127,0.631979695431472,3.383248730964467,274,49,0.999933,1,Alta señal digital local
Pailita,0,Presencia sostenida en rankings chilenos,1,388,9,32.095360824742265,70.42525773195877,0.4252577319587629,1.056701030927835,245,45,0.998681,1,Alta señal digital local
Nicki Nicole,0,Presencia sostenida en rankings chilenos,1,387,4,21.819121447028422,82.86046511627907,0.5064599483204134,0.772609819121447,236,48,0.999957,1,Alta señal digital local
Maluma,0,Presencia sostenida en rankings chilenos,1,375,3,35.78666666666667,86.72,0.304,1.0213333333333334,252,33,0.994237,1,Alta señal digital local
Plan B,0,Presencia sostenida en rankings chilenos,1,371,3,38.094339622641506,77.74393530997304,1.4986522911051212,2.1563342318059298,318,31,0.989073,1,Alta señal digital local
Adan La Amenaza,0,Presencia sostenida en rankings chilenos,1,360,3,27.191666666666666,70.73055555555555,0.20277777777777778,0.5694444444444444,311,49,0.999934,1,Alta señal digital local
Easykid,0,Presencia sostenida en rankings chilenos,1,353,13,25.572237960339944,65.51558073654391,0.6005665722379604,2.6487252124645893,221,50,0.999472,1,Alta señal digital local
Young Miko,0,Presencia sostenida en rankings chilenos,1,349,6,34.00286532951289,87.72206303724928,0.22922636103151864,0.7335243553008596,214,45,0.998613,1,Alta señal digital local
Julianno Sosa,0,Presencia sostenida en rankings chilenos,1,347,14,28.740634005763688,67.05187319884726,0.4495677233429395,2.3285302593659942,225,48,0.998661,1,Alta señal digital local
Yan Block,0,Presencia sostenida en rankings chilenos,1,344,6,32.56686046511628,76.36627906976744,0.627906976744186,2.8488372093023258,243,41,0.997121,1,Alta señal digital local
Omar Courtz,0,Presencia sostenida en rankings chilenos,1,343,5,18.335276967930028,87.00583090379008,0.7376093294460642,3.6355685131195337,237,49,0.999965,1,Alta señal digital local
Emilia,0,Presencia sostenida en rankings chilenos,1,330,5,34.875757575757575,82.94545454545455,0.5848484848484848,1.8060606060606061,324,39,0.998348,1,Alta señal digital local
Jimin,0,Presencia sostenida en rankings chilenos,1,324,3,12.07716049382716,89.63271604938272,0.7222222222222222,3.299382716049383,312,50,0.999997,1,Alta señal digital local
King Savagge,0,Presencia sostenida en rankings chilenos,1,323,8,20.41176470588235,71.6501547987616,0.5572755417956656,2.3405572755417956,278,50,0.99995,1,Alta señal digital local
Big Cvyu,0,Presencia sostenida en rankings chilenos,1,311,3,20.636655948553056,70.2572347266881,0.5980707395498392,1.639871382636656,311,49,0.999976,1,Alta señal digital local
Grupo Zúmbale Primo,0,Presencia sostenida en rankings chilenos,1,297,4,30.962962962962962,65.86868686868686,0.7912457912457912,1.4747474747474747,184,45,0.997838,1,Alta señal digital local
Lady Gaga,0,Presencia sostenida en rankings chilenos,1,284,3,23.619718309859156,94.30633802816901,0.647887323943662,2.25,266,45,0.999911,1,Alta señal digital local
Beéle,0,Presencia sostenida en rankings chilenos,1,282,7,15.73404255319149,86.06382978723404,1.0141843971631206,5.943262411347518,157,50,0.999897,1,Alta señal digital local
Dysbit,0,Presencia sostenida en rankings chilenos,1,282,7,28.29078014184397,65.6063829787234,0.1879432624113475,2.021276595744681,255,45,0.999182,1,Alta señal digital local
Milo j,0,Presencia sostenida en rankings chilenos,1,279,7,34.40860215053763,86.77777777777777,0.4336917562724014,0.4444444444444444,163,42,0.994394,1,Alta señal digital local
Daiko 02,0,Presencia sostenida en rankings chilenos,1,273,2,18.49084249084249,69.9084249084249,0.6410256410256411,1.8681318681318682,273,46,0.99996,1,Alta señal digital local
Quevedo,0,Presencia sostenida en rankings chilenos,1,268,4,30.25,89.19029850746269,0.11940298507462686,0.30597014925373134,149,38,0.996674,1,Alta señal digital local
Carin Leon,0,Presencia sostenida en rankings chilenos,1,268,5,36.63805970149254,86.94776119402985,0.3843283582089552,1.2201492537313432,248,39,0.994565,1,Alta señal digital local
Manuel Turizo,0,Presencia sostenida en rankings chilenos,1,253,1,41.73122529644269,85.30434782608695,0.32806324110671936,0.9169960474308301,253,25,0.569536,1,Alta señal digital local
Harry Nach,0,Presencia sostenida en rankings chilenos,1,251,4,28.713147410358566,65.9203187250996,0.26294820717131473,1.043824701195219,249,41,0.998812,1,Alta señal digital local
Best,0,Presencia sostenida en rankings chilenos,1,251,4,26.665338645418327,73.18725099601593,0.32270916334661354,0.6772908366533864,176,50,0.999655,1,Alta señal digital local
El Jordan 23,0,Presencia sostenida en rankings chilenos,1,240,5,29.604166666666668,76.78333333333333,0.1375,0.6125,210,43,0.998741,1,Alta señal digital local
Shakira,0,Presencia sostenida en rankings chilenos,1,229,3,34.03056768558952,85.40174672489083,0.38427947598253276,1.6899563318777293,226,44,0.997966,1,Alta señal digital local
Rvssian,0,Presencia sostenida en rankings chilenos,1,229,2,26.45414847161572,82.32314410480349,0.2794759825327511,1.8820960698689957,229,46,0.999709,1,Alta señal digital local
Bryartz,0,Presencia sostenida en rankings chilenos,1,229,1,22.017467248908297,74.82532751091703,0.2794759825327511,0.7729257641921398,229,50,0.999945,1,Alta señal digital local
Ayra Starr,0,Presencia sostenida en rankings chilenos,1,229,2,26.45414847161572,82.32314410480349,0.2794759825327511,1.8820960698689957,229,46,0.999709,1,Alta señal digital local
Sayian Jimmy,0,Presencia sostenida en rankings chilenos,1,228,2,24.719298245614034,72.81140350877193,0.5394736842105263,1.8114035087719298,228,46,0.999735,1,Alta señal digital local
Nysix Music,0,Presencia sostenida en rankings chilenos,1,228,2,24.719298245614034,72.81140350877193,0.5394736842105263,1.8114035087719298,228,46,0.999735,1,Alta señal digital local
Big One,0,Presencia sostenida en rankings chilenos,1,225,3,28.395555555555557,81.40444444444445,0.28444444444444444,0.8577777777777778,225,47,0.999629,1,Alta señal digital local
Trueno,0,Presencia sostenida en rankings chilenos,1,221,5,24.79638009049774,83.03167420814479,0.4072398190045249,1.502262443438914,157,49,0.999638,1,Alta señal digital local
Resonancia Etérea,0,Presencia sostenida en rankings chilenos,1,216,5,15.949074074074074,69.2824074074074,0.6388888888888888,4.611111111111111,95,49,0.999702,1,Alta señal digital local
Danny Ocean,0,Presencia sostenida en rankings chilenos,1,211,4,28.630331753554504,85.89573459715639,0.6540284360189573,1.957345971563981,176,47,0.999117,1,Alta señal digital local
ITHAN NY,0,Presencia sostenida en rankings chilenos,1,211,7,28.28909952606635,67.23222748815166,0.3459715639810427,1.5781990521327014,210,46,0.998712,1,Alta señal digital local
Bizarrap,0,Presencia sostenida en rankings chilenos,1,209,6,29.980861244019138,88.77511961722487,0.35406698564593303,0.5933014354066986,126,45,0.997705,1,Alta señal digital local
Los Ángeles Azules,3,Baja presencia o menor posicionamiento local,0,207,2,39.869565217391305,80.56038647342996,0.391304347826087,1.1497584541062802,207,23,0.208479,0,Menor señal digital local
De La Rose,0,Presencia sostenida en rankings chilenos,1,206,4,27.262135922330096,83.81067961165049,0.8543689320388349,3.5679611650485437,183,49,0.999316,1,Alta señal digital local
Romeo Santos,0,Presencia sostenida en rankings chilenos,1,199,2,32.84422110552764,87.16582914572864,0.4723618090452261,1.2763819095477387,199,43,0.997804,1,Alta señal digital local
SOULFIA,0,Presencia sostenida en rankings chilenos,1,187,1,24.192513368983956,69.65775401069519,0.19786096256684493,0.5614973262032086,187,41,0.999337,1,Alta señal digital local
eleven1.1,0,Presencia sostenida en rankings chilenos,1,187,1,24.192513368983956,69.65775401069519,0.19786096256684493,0.5614973262032086,187,41,0.999337,1,Alta señal digital local
EL MURCIELAGO,0,Presencia sostenida en rankings chilenos,1,187,1,19.88235294117647,71.6951871657754,0.24598930481283424,-0.16042780748663102,187,50,0.999943,1,Alta señal digital local
Tobal Mj,0,Presencia sostenida en rankings chilenos,1,178,2,23.634831460674157,70.38764044943821,0.47191011235955055,3.5280898876404496,178,49,0.999588,1,Alta señal digital local
Grupo Frontera,0,Presencia sostenida en rankings chilenos,1,176,4,37.13068181818182,82.60795454545455,0.125,0.7443181818181818,164,30,0.870694,1,Alta señal digital local
Martinwhite,0,Presencia sostenida en rankings chilenos,1,172,3,33.36046511627907,70.04651162790698,0.3313953488372093,1.7383720930232558,169,37,0.983071,1,Alta señal digital local
LOS 4F,0,Presencia sostenida en rankings chilenos,1,172,10,33.31976744186046,62.02906976744186,0.7558139534883721,3.197674418604651,99,44,0.957758,1,Alta señal digital local
Ñengo Flow,0,Presencia sostenida en rankings chilenos,1,172,1,19.21511627906977,72.57558139534883,0.32558139534883723,0.5523255813953488,172,48,0.999908,1,Alta señal digital local
Bryant Myers,0,Presencia sostenida en rankings chilenos,1,167,2,25.880239520958085,75.12574850299401,0.3592814371257485,0.6347305389221557,167,41,0.998761,1,Alta señal digital local
NEMJ,0,Presencia sostenida en rankings chilenos,1,166,2,33.04216867469879,69.93373493975903,0.30120481927710846,1.7108433734939759,157,37,0.983065,1,Alta señal digital local
Darell,0,Presencia sostenida en rankings chilenos,1,164,2,22.463414634146343,85.64634146341463,0.17682926829268292,1.225609756097561,164,47,0.999788,1,Alta señal digital local
YSY A,0,Presencia sostenida en rankings chilenos,1,164,2,29.695121951219512,74.59146341463415,0.3475609756097561,0.6707317073170732,164,40,0.9965,1,Alta señal digital local
ONIRIA,0,Presencia sostenida en rankings chilenos,1,163,1,29.644171779141104,75.04907975460122,0.27607361963190186,0.6012269938650306,163,40,0.996903,1,Alta señal digital local
FMK,0,Presencia sostenida en rankings chilenos,1,161,1,24.0,84.99378881987577,0.2236024844720497,0.13664596273291926,161,47,0.999769,1,Alta señal digital local
Standly,0,Presencia sostenida en rankings chilenos,1,160,4,31.35,71.74375,0.80625,1.86875,160,43,0.99412,1,Alta señal digital local
LOUKI,0,Presencia sostenida en rankings chilenos,1,160,1,14.3375,83.20625,0.5875,2.55,160,50,0.999968,1,Alta señal digital local
W Sound,0,Presencia sostenida en rankings chilenos,1,160,2,20.5125,85.7875,0.8125,4.9125,160,50,0.99979,1,Alta señal digital local
ROSÉ,0,Presencia sostenida en rankings chilenos,1,158,2,26.841772151898734,90.24050632911393,0.5632911392405063,1.9873417721518987,158,42,0.99867,1,Alta señal digital local
Los Patos Feos Inc,0,Presencia sostenida en rankings chilenos,1,157,1,28.261146496815286,81.45859872611464,0.11464968152866242,0.3375796178343949,157,40,0.998037,1,Alta señal digital local
Yorghaki,0,Presencia sostenida en rankings chilenos,1,154,1,15.025974025974026,84.74025974025975,0.4805194805194805,3.064935064935065,154,46,0.999922,1,Alta señal digital local
Jhayco,0,Presencia sostenida en rankings chilenos,1,154,2,28.805194805194805,84.52597402597402,0.3246753246753247,0.6298701298701299,154,40,0.997484,1,Alta señal digital local
Alleh,0,Presencia sostenida en rankings chilenos,1,154,1,15.025974025974026,84.74025974025975,0.4805194805194805,3.064935064935065,154,46,0.999922,1,Alta señal digital local
Santaferia,0,Presencia sostenida en rankings chilenos,1,140,5,35.26428571428571,64.55714285714286,2.007142857142857,3.8285714285714287,112,45,0.960177,1,Alta señal digital local
Kali Uchis,0,Presencia sostenida en rankings chilenos,1,140,3,36.107142857142854,80.74285714285715,0.45,2.164285714285714,140,47,0.991095,1,Alta señal digital local
Panda Black,0,Presencia sostenida en rankings chilenos,1,138,3,21.753623188405797,77.07971014492753,0.7318840579710145,3.108695652173913,138,49,0.999583,1,Alta señal digital local
Axl Boore,0,Presencia sostenida en rankings chilenos,1,137,2,29.357664233576642,65.62773722627738,0.16058394160583941,0.5474452554744526,137,41,0.994955,1,Alta señal digital local
The La Planta,0,Presencia sostenida en rankings chilenos,1,134,1,31.828358208955223,81.3955223880597,0.30597014925373134,0.6119402985074627,134,47,0.99773,1,Alta señal digital local
Valentino Merlo,0,Presencia sostenida en rankings chilenos,1,134,1,31.828358208955223,81.3955223880597,0.30597014925373134,0.6119402985074627,134,47,0.99773,1,Alta señal digital local
iZaak,0,Presencia sostenida en rankings chilenos,1,131,2,27.34351145038168,81.55725190839695,0.32061068702290074,0.5343511450381679,131,40,0.997296,1,Alta señal digital local
DJ Luian,3,Baja presencia o menor posicionamiento local,0,125,2,37.736,84.656,0.328,0.512,125,26,0.290767,0,Menor señal digital local
Mambo Kingz,3,Baja presencia o menor posicionamiento local,0,125,2,37.736,84.656,0.328,0.512,125,26,0.290767,0,Menor señal digital local
Galee Galee,0,Presencia sostenida en rankings chilenos,1,123,2,33.05691056910569,64.8130081300813,0.3008130081300813,1.089430894308943,87,43,0.982175,1,Alta señal digital local
JHAYCO,0,Presencia sostenida en rankings chilenos,1,123,2,35.28455284552845,79.69918699186992,0.34146341463414637,1.4146341463414633,123,47,0.992404,1,Alta señal digital local
Napoles,0,Presencia sostenida en rankings chilenos,1,122,1,27.459016393442624,67.27049180327869,0.4016393442622951,2.081967213114754,122,38,0.992202,1,Alta señal digital local
Mati Bomba,0,Presencia sostenida en rankings chilenos,1,122,1,27.459016393442624,67.27049180327869,0.4016393442622951,2.081967213114754,122,38,0.992202,1,Alta señal digital local
benny blanco,0,Presencia sostenida en rankings chilenos,1,111,1,22.34234234234234,83.990990990991,0.5945945945945946,2.6036036036036037,111,48,0.999504,1,Alta señal digital local
Luar La L,0,Presencia sostenida en rankings chilenos,1,106,5,30.90566037735849,82.4245283018868,0.6415094339622641,2.1132075471698113,100,33,0.955738,1,Alta señal digital local
Mesita,0,Presencia sostenida en rankings chilenos,1,106,1,25.547169811320753,88.61320754716981,0.6792452830188679,0.8679245283018868,106,39,0.997483,1,Alta señal digital local
Alvaro Diaz,0,Presencia sostenida en rankings chilenos,1,105,3,25.914285714285715,72.4,0.7047619047619048,3.2476190476190476,105,48,0.997773,1,Alta señal digital local
Bayriton,0,Presencia sostenida en rankings chilenos,1,102,3,29.127450980392158,71.22549019607843,0.5784313725490197,1.9607843137254901,102,37,0.981658,1,Alta señal digital local
La Joaqui,0,Presencia sostenida en rankings chilenos,1,101,1,24.277227722772277,69.47524752475248,0.1485148514851485,0.7623762376237624,101,43,0.998212,1,Alta señal digital local
Maisak,0,Presencia sostenida en rankings chilenos,1,101,1,33.257425742574256,84.42574257425743,0.46534653465346537,1.881188118811881,101,43,0.98928,1,Alta señal digital local
Lidanza,0,Presencia sostenida en rankings chilenos,1,99,1,32.36363636363637,66.34343434343434,0.25252525252525254,1.404040404040404,99,30,0.661278,1,Alta señal digital local
Xavi,0,Presencia sostenida en rankings chilenos,1,97,1,24.051546391752577,97.08247422680412,0.4845360824742268,0.7938144329896907,97,44,0.999244,1,Alta señal digital local
Anitta,0,Presencia sostenida en rankings chilenos,1,95,3,31.57894736842105,89.22105263157894,0.631578947368421,3.2421052631578946,95,38,0.976563,1,Alta señal digital local
Nacho G Flow,0,Presencia sostenida en rankings chilenos,1,95,1,6.71578947368421,74.48421052631579,0.7894736842105263,6.073684210526316,95,49,0.999952,1,Alta señal digital local
Lunay,0,Presencia sostenida en rankings chilenos,1,93,2,30.397849462365592,85.60215053763442,0.3548387096774194,0.8279569892473119,93,33,0.9747,1,Alta señal digital local
Chiko Alfa,0,Presencia sostenida en rankings chilenos,1,91,1,28.78021978021978,73.89010989010988,0.26373626373626374,0.02197802197802198,91,36,0.988224,1,Alta señal digital local
Taiko,0,Presencia sostenida en rankings chilenos,1,91,1,29.0989010989011,71.79120879120879,0.03296703296703297,0.3516483516483517,91,37,0.987929,1,Alta señal digital local
Paolo Pimp,0,Presencia sostenida en rankings chilenos,1,91,1,28.78021978021978,73.89010989010988,0.26373626373626374,0.02197802197802198,91,36,0.988224,1,Alta señal digital local
Malito Malozo,0,Presencia sostenida en rankings chilenos,1,91,1,28.78021978021978,73.89010989010988,0.26373626373626374,0.02197802197802198,91,36,0.988224,1,Alta señal digital local
Sabrina Carpenter,3,Baja presencia o menor posicionamiento local,0,89,3,40.764044943820224,95.52808988764045,0.15730337078651685,1.449438202247191,50,28,0.145334,0,Menor señal digital local
Dj Osar,0,Presencia sostenida en rankings chilenos,1,87,1,19.919540229885058,68.85057471264368,0.0,0.11494252873563218,87,46,0.99952,1,Alta señal digital local
Gaby Music,0,Presencia sostenida en rankings chilenos,1,86,1,29.011627906976745,86.81395348837209,0.37209302325581395,0.686046511627907,86,33,0.981945,1,Alta señal digital local
Guelo Star,0,Presencia sostenida en rankings chilenos,1,85,1,28.36470588235294,74.51764705882353,0.18823529411764706,0.12941176470588237,85,37,0.98989,1,Alta señal digital local
Almighty,3,Baja presencia o menor posicionamiento local,0,83,2,34.75903614457831,68.3132530120482,3.0,4.27710843373494,83,33,0.139331,0,Menor señal digital local
Kail BRL,3,Baja presencia o menor posicionamiento local,0,82,1,43.0,66.1951219512195,0.024390243902439025,0.5365853658536586,82,17,0.000597,0,Menor señal digital local
Neton Vega,0,Presencia sostenida en rankings chilenos,1,81,2,25.123456790123456,85.45679012345678,0.9259259259259259,7.419753086419753,81,41,0.989154,1,Alta señal digital local
Alemán,0,Presencia sostenida en rankings chilenos,1,81,2,25.123456790123456,85.45679012345678,0.9259259259259259,7.419753086419753,81,41,0.989154,1,Alta señal digital local
Maria Becerra,3,Baja presencia o menor posicionamiento local,0,79,3,39.0253164556962,72.46835443037975,0.5949367088607594,2.949367088607595,79,24,0.012709,0,Menor señal digital local
Yandel,0,Presencia sostenida en rankings chilenos,1,79,3,22.40506329113924,78.24050632911393,1.1139240506329113,3.088607594936709,79,50,0.999038,1,Alta señal digital local
